ПРИБОР: СИБ-ЕР-20 ВЕР.ПО: 2.2B
ИМЯ: Sib113 ЗАВ.№: 
ДАТА И ВРЕМЯ СОЗДАНИЯ ФАЙЛА: 11/07/23,15:55:28
ЗОНД №:  ТИП: Цилиндрический ВРЕМЯ ЖИЗНИ: 254 мкм
17/07/23, 09:38:08, 27.31, 13.37, 1301144, 1270335, 1024252, 1.024,
17/07/23, 09:39:58, 27.31, 13.26, 1301325, 1269918, 1024731, 1.025,
17/07/23, 09:44:36, 28.50, 13.27, 0, 0, 0, 0.000,
17/07/23, 09:45:01, 28.81, 13.31, 0, 0, 0, 0.000,
17/07/23, 09:45:30, 28.81, 13.29, 1298691, 1269077, 1023335, 1.023,
17/07/23, 09:46:59, 29.37, 13.17, 1299946, 1267286, 1025771, 1.026,
17/07/23, 09:49:11, 31.75, 13.44, 1300532, 1267570, 1026004, 1.026,
17/07/23, 10:46:23, 25.50, 13.62, 1296663, 1263799, 1026004, 1.026,
17/07/23, 11:51:40, 32.19, 13.55, 1296362, 1264279, 1025376, 1.025,
17/07/23, 12:57:04, 34.81, 13.55, 1299039, 1266230, 1025910, 1.026,
17/07/23, 14:02:24, 36.69, 13.59, 1301485, 1268509, 1025995, 1.026,
17/07/23, 15:07:44, 38.13, 13.62, 1301284, 1269694, 1024880, 1.025,
17/07/23, 16:13:00, 39.13, 13.64, 1304764, 1271623, 1026061, 1.026,
17/07/23, 17:18:14, 39.69, 13.68, 1307645, 1273851, 1026529, 1.027,
17/07/23, 18:23:26, 40.00, 13.70, 1306924, 1273373, 1026348, 1.026,
17/07/23, 19:28:40, 40.00, 13.68, 1307671, 1274047, 1026391, 1.026,
17/07/23, 20:33:50, 40.00, 13.68, 1307229, 1272529, 1027268, 1.027,
17/07/23, 21:39:00, 39.75, 13.70, 1304763, 1271667, 1026025, 1.026,
17/07/23, 22:44:11, 39.38, 13.70, 1304415, 1268900, 1027988, 1.028,
17/07/23, 23:49:20, 38.94, 13.66, 1300389, 1267548, 1025909, 1.026,
18/07/23, 00:54:29, 38.50, 13.73, 1300064, 1265913, 1026977, 1.027,
18/07/23, 01:59:38, 38.13, 13.62, 1297115, 1264064, 1026146, 1.026,
18/07/23, 03:04:48, 37.94, 13.65, 1297213, 1263446, 1026726, 1.027,
18/07/23, 03:37:32, 34.38, 13.62, 0, 0, 0, 0.000,
18/07/23, 03:40:59, 34.38, 13.37, 1299277, 1267014, 1025463, 1.025,
18/07/23, 03:41:04, 40.00, 13.46, 1299277, 1267014, 1025463, 1.025,
18/07/23, 03:46:04, 41.06, 13.37, 1294046, 1262896, 1024665, 1.025,
18/07/23, 03:49:52, 43.63, 13.37, 1294982, 1262883, 1025417, 1.025,
18/07/23, 04:44:23, 30.81, 13.86, 406, 152, 2671052, 2.671,
18/07/23, 05:49:19, 30.25, 13.65, 565, 176, 3210227, 3.210,
18/07/23, 06:54:22, 28.06, 13.56, 482, 376, 1281914, 1.282,
18/07/23, 07:59:26, 26.69, 13.46, 439, 75, 5853333, 5.853,
18/07/23, 09:04:35, 25.75, 13.46, 520, 316, 1645569, 1.646,
18/07/23, 10:09:43, 25.19, 13.45, 559, 134, 4171641, 4.172,
18/07/23, 11:14:59, 26.62, 13.46, 963, 355, 2712676, 2.713,
18/07/23, 11:55:59, 25.12, 13.39, 1251592, 1219363, 1026431, 1.026,
18/07/23, 11:58:28, 28.44, 13.25, 1264935, 1210736, 1044765, 1.045,
18/07/23, 12:04:50, 31.56, 13.15, 0, 0, 0, 0.000,
18/07/23, 12:07:19, 31.56, 13.10, 1252660, 1221835, 1025228, 1.025,
18/07/23, 12:09:34, 34.63, 13.17, 1256002, 1230107, 1021051, 1.021,
18/07/23, 12:15:45, 30.56, 13.20, 1254396, 1222360, 1026208, 1.026,
18/07/23, 12:19:10, 33.00, 13.34, 1253210, 1222963, 1024732, 1.025,
18/07/23, 12:28:47, 32.56, 13.39, 1262674, 1232620, 1024382, 1.024,
18/07/23, 12:38:24, 32.81, 13.40, 1258687, 1226347, 1026371, 1.026,
18/07/23, 12:48:02, 33.19, 13.39, 1245715, 1215657, 1024725, 1.025,
18/07/23, 12:57:41, 33.50, 13.39, 1254510, 1226642, 1022718, 1.023,
18/07/23, 13:07:18, 33.75, 13.44, 1264346, 1223151, 1033679, 1.034,
18/07/23, 13:16:55, 33.94, 13.44, 1263704, 1218250, 1037310, 1.037,
18/07/23, 13:26:32, 34.13, 13.48, 1249799, 1227189, 1018424, 1.018,
18/07/23, 13:36:09, 34.13, 13.46, 1245723, 1234644, 1008973, 1.009,
18/07/23, 13:45:47, 34.19, 13.46, 1235997, 1241105, 995884, 0.996,
18/07/23, 13:55:24, 34.13, 13.37, 1251050, 1219978, 1025469, 1.025,
18/07/23, 14:05:02, 34.06, 13.49, 1247189, 1219548, 1022664, 1.023,
18/07/23, 14:14:40, 34.00, 13.49, 1254512, 1218087, 1029903, 1.030,
18/07/23, 14:24:17, 33.88, 13.54, 1255781, 1227002, 1023454, 1.023,
18/07/23, 14:33:54, 33.69, 13.50, 1249913, 1233379, 1013405, 1.013,
18/07/23, 14:43:32, 33.50, 13.50, 1260658, 1227679, 1026862, 1.027,
18/07/23, 14:53:10, 33.31, 13.51, 1266279, 1223452, 1035005, 1.035,
18/07/23, 15:02:47, 33.13, 13.51, 1241503, 1229900, 1009434, 1.009,
18/07/23, 15:12:24, 32.88, 13.50, 1260531, 1224723, 1029237, 1.029,
18/07/23, 15:22:02, 32.63, 13.49, 1249768, 1222097, 1022642, 1.023,
18/07/23, 15:31:39, 32.38, 13.55, 1263517, 1224826, 1031588, 1.032,
18/07/23, 15:41:17, 32.13, 13.50, 1255731, 1227186, 1023260, 1.023,
18/07/23, 15:50:54, 31.87, 13.51, 1256742, 1228268, 1023182, 1.023,
18/07/23, 16:00:31, 31.50, 13.49, 1252822, 1227182, 1020893, 1.021,
18/07/23, 16:10:09, 31.06, 13.46, 1252581, 1225817, 1021833, 1.022,
18/07/23, 16:19:46, 30.62, 13.49, 1253487, 1225680, 1022686, 1.023,
18/07/23, 16:29:23, 30.12, 13.46, 1255388, 1224995, 1024810, 1.025,
18/07/23, 16:39:00, 29.63, 13.51, 1255377, 1227074, 1023065, 1.023,
18/07/23, 16:48:37, 29.19, 13.49, 1254790, 1225881, 1023582, 1.024,
18/07/23, 16:58:14, 28.69, 13.44, 1254538, 1226438, 1022911, 1.023,
18/07/23, 17:07:52, 28.25, 13.46, 1253463, 1226400, 1022067, 1.022,
18/07/23, 17:17:30, 27.81, 13.42, 1255151, 1226507, 1023354, 1.023,
18/07/23, 17:27:07, 27.37, 13.44, 1252509, 1226664, 1021069, 1.021,
18/07/23, 17:36:44, 26.94, 13.43, 1253514, 1225954, 1022480, 1.022,
18/07/23, 17:46:22, 26.50, 13.43, 1253672, 1225605, 1022900, 1.023,
18/07/23, 17:55:59, 26.06, 13.43, 1254362, 1225987, 1023144, 1.023,
18/07/23, 18:05:36, 25.69, 13.40, 1254282, 1225765, 1023264, 1.023,
18/07/23, 18:15:13, 25.25, 13.35, 1254410, 1225778, 1023358, 1.023,
18/07/23, 18:24:51, 24.87, 13.38, 1255074, 1227198, 1022715, 1.023,
18/07/23, 18:34:28, 24.50, 13.31, 1254654, 1225268, 1023983, 1.024,
18/07/23, 18:44:05, 24.19, 13.35, 1253734, 1225217, 1023275, 1.023,
18/07/23, 18:53:43, 23.87, 13.32, 1254428, 1224340, 1024574, 1.025,
18/07/23, 19:03:20, 23.56, 13.45, 1253819, 1224831, 1023666, 1.024,
18/07/23, 19:12:57, 23.19, 13.32, 1252181, 1225902, 1021436, 1.021,
18/07/23, 19:22:34, 22.87, 13.32, 1253815, 1226068, 1022630, 1.023,
18/07/23, 19:32:12, 22.56, 13.31, 1248083, 1226157, 1017881, 1.018,
18/07/23, 19:41:49, 22.25, 13.27, 1252630, 1225174, 1022409, 1.022,
18/07/23, 19:51:26, 22.00, 13.27, 1253530, 1226544, 1022001, 1.022,
18/07/23, 20:01:03, 21.75, 13.28, 1253945, 1225019, 1023612, 1.024,
18/07/23, 20:10:41, 21.44, 13.29, 1253486, 1225961, 1022451, 1.022,
18/07/23, 20:20:18, 21.19, 13.25, 1252629, 1226566, 1021248, 1.021,
18/07/23, 20:29:55, 20.94, 13.23, 1253980, 1226102, 1022737, 1.023,
18/07/23, 20:39:41, 20.75, 13.27, 1253171, 1225166, 1022858, 1.023,
18/07/23, 20:49:18, 20.50, 13.25, 1252588, 1230313, 1018105, 1.018,
18/07/23, 20:58:55, 20.25, 13.26, 1252810, 1225625, 1022180, 1.022,
18/07/23, 21:08:33, 20.06, 13.23, 1251668, 1225681, 1021202, 1.021,
18/07/23, 21:18:10, 19.81, 13.22, 1252621, 1225110, 1022455, 1.022,
18/07/23, 21:27:47, 19.62, 13.35, 1254001, 1224152, 1024383, 1.024,
18/07/23, 21:37:25, 19.44, 13.22, 1253728, 1225450, 1023075, 1.023,
18/07/23, 21:47:02, 19.25, 13.22, 1252267, 1224883, 1022356, 1.022,
18/07/23, 21:56:40, 19.06, 13.23, 1255562, 1225101, 1024864, 1.025,
18/07/23, 22:06:17, 18.94, 13.23, 1253807, 1225403, 1023179, 1.023,
18/07/23, 22:15:54, 18.75, 13.23, 1253488, 1226595, 1021924, 1.022,
18/07/23, 22:25:31, 18.62, 13.27, 1253623, 1225500, 1022948, 1.023,
18/07/23, 22:35:09, 18.44, 13.21, 1252226, 1225395, 1021895, 1.022,
18/07/23, 22:44:46, 18.31, 13.21, 1252745, 1225384, 1022328, 1.022,
18/07/23, 22:54:23, 18.19, 13.22, 1252495, 1225142, 1022326, 1.022,
18/07/23, 23:04:01, 18.06, 13.23, 1252931, 1226075, 1021904, 1.022,
18/07/23, 23:13:38, 18.00, 13.23, 1252341, 1224518, 1022721, 1.023,
18/07/23, 23:23:15, 18.00, 13.23, 1253398, 1223082, 1024786, 1.025,
18/07/23, 23:32:53, 18.19, 13.22, 1252194, 1226084, 1021295, 1.021,
18/07/23, 23:42:30, 18.31, 13.21, 1254378, 1224197, 1024653, 1.025,
18/07/23, 23:52:07, 18.44, 13.20, 1255725, 1223344, 1026469, 1.026,
19/07/23, 00:01:45, 18.50, 13.18, 1252168, 1226137, 1021230, 1.021,
19/07/23, 00:11:22, 18.50, 13.23, 1248743, 1224489, 1019807, 1.020,
19/07/23, 00:21:00, 18.50, 13.23, 1252280, 1223885, 1023200, 1.023,
19/07/23, 00:30:37, 18.56, 13.23, 1253343, 1224955, 1023174, 1.023,
19/07/23, 00:40:15, 18.69, 13.23, 1259062, 1222508, 1029900, 1.030,
19/07/23, 00:49:52, 19.06, 13.22, 1256041, 1226767, 1023862, 1.024,
19/07/23, 00:59:30, 19.25, 13.23, 1252713, 1224880, 1022723, 1.023,
19/07/23, 01:09:07, 19.37, 13.23, 1250844, 1225240, 1020897, 1.021,
19/07/23, 01:18:45, 19.56, 13.23, 1253004, 1224543, 1023242, 1.023,
19/07/23, 01:28:22, 19.75, 13.23, 1248539, 1225702, 1018631, 1.019,
19/07/23, 01:37:59, 19.94, 13.23, 1251608, 1226672, 1020328, 1.020,
19/07/23, 01:47:37, 20.19, 13.23, 1253583, 1225136, 1023219, 1.023,
19/07/23, 01:57:14, 20.56, 13.23, 1253027, 1226206, 1021873, 1.022,
19/07/23, 02:06:52, 21.06, 13.25, 1254771, 1222525, 1026376, 1.026,
19/07/23, 02:16:29, 21.69, 13.27, 1251376, 1225108, 1021441, 1.021,
19/07/23, 02:26:07, 22.50, 13.29, 1259373, 1219148, 1032994, 1.033,
19/07/23, 02:35:45, 23.25, 13.34, 1245939, 1224613, 1017414, 1.017,
19/07/23, 02:45:22, 24.00, 13.32, 1251187, 1225861, 1020659, 1.021,
19/07/23, 02:55:00, 24.44, 13.35, 1242302, 1226095, 1013218, 1.013,
19/07/23, 03:04:38, 24.87, 13.37, 1254710, 1221436, 1027241, 1.027,
19/07/23, 03:14:15, 25.37, 13.39, 1256582, 1226845, 1024238, 1.024,
19/07/23, 03:23:53, 25.88, 13.40, 1255441, 1226460, 1023629, 1.024,
19/07/23, 03:33:30, 26.62, 13.44, 1243156, 1221507, 1017723, 1.018,
19/07/23, 03:43:08, 28.06, 13.42, 1245375, 1219438, 1021269, 1.021,
19/07/23, 03:52:47, 30.12, 13.50, 1265245, 1227985, 1030342, 1.030,
19/07/23, 04:02:25, 32.00, 13.49, 1259717, 1232226, 1022310, 1.022,
19/07/23, 04:12:04, 32.75, 13.51, 1251970, 1222730, 1023913, 1.024,
19/07/23, 04:21:41, 33.31, 13.60, 1256276, 1237209, 1015411, 1.015,
19/07/23, 04:31:19, 33.50, 13.60, 1254833, 1225008, 1024346, 1.024,
19/07/23, 04:40:56, 33.50, 13.60, 1247511, 1225316, 1018113, 1.018,
